TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f013942,2308300007,2,1,1,0,6,,이마트24 웨스틴조선부산호텔점,737,,,,,1,3000,,2635010500
f_f000935,2305280001,1,1,1,1,2,1268167791,거제케이블카,경남 거제시 동부면 거제중앙로 288,경남 거제시 동부면 구천리 953-2,3337005,4831032023,2023-05-28 12:27,1,11000,부산오뎅(국물);떡볶이,
f_f011863,2308260003,1,0,0,1,2,,롱브레드,강원특별자치도 강릉시 창해로14번길 10,강원특별자치도 강릉시 견소동 287-18,4460931,5115011500,2023-08-26 09:29,1,35000,에그베네딕트;롱브레드 파니니;카레라떼 ice;더치 아메리카노-디카페인,
f_f000835,2305190002,3,2,2,0,1,,아쿠아발리,26-1,,,,,1,18000,,2617010100
f_f000835,2305200001,1,0,0,1,1,6051784365,본전돼지국밥,부산 동구 중앙대로214번길 3-8,부산 동구 초량동 1200-6,4181416,2617010100,2023-05-20 09:35,1,20000,,
f_f001245,2305280003,1,2,2,0,2,,가정횟집,읍천리261,,,,,1,89000,,4713032000
f_f007571,2308190005,1,2,2,2,2,8240302365,감자유원지,강원특별자치도 강릉시 경강로2115번길 7,강원특별자치도 강릉시 임당동 103-12,4460111,5115010500,2023-08-19 14:53,1,2500,커피할인,
f_f008379,2308190003,6,3,3,1,2,1430702740,컴포즈커피,부산 연제구 아시아드대로 86,부산 연제구 거제동 1477-5,2006012,2647010100,2023-08-19 10:01,1,3000,아메리카노(ICE),
f_f015285,2309020004,2,0,0,1,2,2148557846,한화솔루션(주)인사이트 제이드,강원특별자치도 춘천시 남산면 햇골길 80,,4454759,5111040028,2023-09-02 17:29,1,3000,F023_로컬웍스_얼그레이 꿀카라멜,
f_f005042,2308070002,1,0,0,1,1,2018121515,스타벅스,경북 경주시 첨성로 125,경북 경주시 황남동 140-2,3305057,4713011000,2023-08-07 12:25,1,4000,케일사과주스,
f_f000543,2305160006,2,0,0,1,1,7511201226,레드망치,강원 강릉시 율곡로 2890-1,강원 강릉시 교동 183-234,3220032,4215011000,2023-05-16 12:01,1,4500,레드망치 미니천,
f_f000543,2305160010,1,0,0,1,1,6838601813,순두부젤라또,강원 강릉시 경강로 2642,강원 강릉시 견소동 190-82,3000145,4215011500,2023-05-16 18:39,1,4500,젤라또,
f_f000543,2305170003,2,0,0,1,1,6111137638,두딩,강원 강릉시 강릉대로 197,강원 강릉시 교동 162-178,2220001,4215011000,2023-05-17 13:21,1,4500,,
f_f004740,2307290004,1,0,0,0,2,,황남옥수수,276-4,,,,,1,5000,,4713011000
f_f009530,2308300008,1,0,0,1,2,4362301769,대릉묘찌,경북 경주시 포석로 1085,경북 경주시 황남동 276-4,3305063,4713011000,2023-08-30 18:25,1,6000,쑥묘찌,
