TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f000011,컵라명 햇반 등의 즉석식품,1,2,4892301540,세븐일레븐 강남대원룸점,경기 용인시 기흥구 강남서로107번길 4,경기 용인시 기흥구 구갈동 557-1,4412010,4146310200,2023-04-29 15:38,1,15110,오뚜기)작은밥; CJ)큰햇반; 서울)흰우유; 오뚜기)컵누들매콤한맛(소; 오뚜기)컵누들짜장맛소컵,
f_f000382,커피,0,1,,더벤티 용계점,755-11,,,,,1,1800,,2714011900
f_f000384,토마호크 스테이크,1,2,5328601820,(주)마블플러스,경기 남양주시 석실로668번길 54,경기 남양주시 금곡동 127-8,4391483,4136010300,2023-05-17 11:28,1,32900,토마호크 우대갈비 티본 엘본 채끝 등심 립아이 비프립 스테이크 소고기 캠핑,
f_f000473,주유,0,2,,대일주유소,198,,,,,1,60000,,2629010600
f_f000492,수영복,1,1,5248601528,네이버 파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-04-17 00:00,1,32800,여자 체형커버 수영복 비치 원피스수영복 빅사이즈 뱃살커버,
f_f000530,마트 장보기,0,4,,이마트 원주점,1062-1,,,,,3,85000,,4213011500
f_f000543,고속보조배터리 10000mAh,1,1,1068123839,알로이비즈 주식회사,서울 영등포구 63로 32,서울 영등포구 여의도동 61-4,3118001,1156011000,2023-05-13 00:53,1,23999,보조배터리 고속 1000MAH 화이트 미니 대용량 고속총전 HSB PD C타입 급속,
f_f000586,식료품  음료  과자,1,1,1068307115,철마마트(영외),경기 남양주시 진접읍 광릉내로82번길 19-7,경기 남양주시 진접읍 팔야리 760-6,4391164,4136025326,2023-05-30 15:53,1,14480,꼬마꾸이맨;부라보초코청크;바나나킥;포테이토칩사워크림어니언;꼬깔콘고소한맛(소),
f_f000767,속초 과자의 성 체험비,1,1,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-06-02 23:48,1,28500,,
f_f000835,과자;마스크팩;음료;라면;바스볼 등,0,1,,올리브영,미림1동,,,,,1,19000,,4119010800
f_f000935,젤리; 과자,0,2,,CU편의점,강선로74  1층 상가동 111호,,,,,3,9000,,4128710200
