COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e005633,8,1,3,1
1,f_f000011,8,1,4,1
1,f_f000013,1,2,4,1
2,f_f000013,2,2,1,1
2,f_f000040,9,2,3,3
4,f_f000040,9,2,4,3
6,f_f000040,9,1,4,3
1,f_f000040,9,2,3,3
3,f_f000040,9,2,4,3
5,f_f000040,9,2,6,3
7,f_f000040,9,1,3,1
1,f_f000338,8,1,3,1
1,f_f000382,1,1,4,1
3,f_f000382,2,2,1,1
2,f_f000382,2,2,1,1
1,f_f000384,8,2,3,1
2,f_f000429,2,2,3,1
1,f_f000429,1,2,6,1
1,f_f000437,7,2,6,1
2,f_f000437,7,2,6,1
1,f_f000461,8,1,3,1
1,f_f000473,8,2,4,1
2,f_f000484,2,1,1,1
1,f_f000484,2,2,1,1
2,f_f000492,2,1,1,1
1,f_f000492,1,1,4,1
3,f_f000492,2,1,1,1
1,f_f000493,1,1,6,1
3,f_f000493,2,2,1,1
2,f_f000493,2,1,2,1
1,f_f000516,7,2,4,1
1,f_f000530,7,2,3,1
3,f_f000530,7,2,3,1
2,f_f000530,7,2,3,1
2,f_f000532,2,1,2,1
1,f_f000532,1,1,6,1
3,f_f000532,2,2,2,1
2,f_f000538,2,2,1,1
1,f_f000538,1,2,4,1
3,f_f000538,2,1,1,1
1,f_f000568,5,2,3,1
1,f_f000591,1,1,5,1
2,f_f000591,2,2,2,1
2,f_f000609,2,1,1,1
1,f_f000609,1,1,5,1
3,f_f000609,2,1,1,1
4,f_f000611,2,1,1,1
1,f_f000611,1,1,5,1
3,f_f000611,2,2,1,1
2,f_f000611,2,1,1,1
1,f_f000627,1,1,5,1
3,f_f000627,2,1,2,1
2,f_f000627,2,1,2,1
4,f_f000627,2,1,2,1
1,f_f000655,7,2,3,1
1,f_f000669,2,1,2,1
3,f_f000669,2,2,1,1
2,f_f000669,2,2,1,1
1,f_f000689,8,1,4,1
1,f_f000710,1,1,4,1
2,f_f000710,3,1,6,1
3,f_f000730,2,1,1,1
2,f_f000730,2,2,2,1
1,f_f000730,1,1,5,1
1,f_f000767,1,2,5,1
2,f_f000767,2,2,2,1
1,f_f000782,1,2,4,1
3,f_f000782,2,2,1,1
2,f_f000782,2,2,1,1
2,f_f000790,7,2,3,1
1,f_f000790,7,2,3,1
2,f_f000796,3,2,6,1
1,f_f000796,3,1,6,1
3,f_f000796,5,2,3,1
1,f_f000831,1,1,4,1
2,f_f000831,2,1,1,1
1,f_f000844,7,1,4,1
1,f_f000869,8,1,3,1
1,f_f000879,1,1,4,1
1,f_f000935,1,1,4,1
2,f_f000940,2,2,1,1
1,f_f000940,1,1,4,1
3,f_f000940,2,1,1,1
2,f_f000952,2,1,2,1
1,f_f000952,1,1,5,1
3,f_f000952,2,2,2,1
2,f_f000959,2,2,1,1
1,f_f000959,1,1,4,1
3,f_f000959,2,2,1,1
1,f_f000973,1,2,4,1
2,f_f000973,2,1,1,1
2,f_f000979,2,1,2,1
1,f_f000979,1,1,5,1
3,f_f000979,2,1,2,1
1,f_f001026,3,1,6,1
3,f_f001026,5,2,3,1
2,f_f001026,3,2,6,1
3,f_f001059,2,1,1,1
2,f_f001059,2,2,1,1
1,f_f001059,1,1,4,1
1,f_f001074,8,1,3,1
1,f_f001081,1,1,7,1
2,f_f001112,2,2,1,1
1,f_f001112,1,1,4,1
1,f_f001116,7,2,5,3
2,f_f001117,7,1,4,2
1,f_f001117,7,1,4,2
1,f_f001124,5,1,3,1
3,f_f001124,3,2,6,1
2,f_f001124,3,1,6,1
1,f_f001131,1,1,5,1
3,f_f001131,3,1,8,1
2,f_f001131,2,1,1,1
4,f_f001131,3,2,8,1
1,f_f001134,8,2,4,1
1,f_f001184,1,1,5,1
3,f_f001184,2,2,2,1
2,f_f001184,2,2,2,1
1,f_f001226,1,2,5,1
2,f_f001226,2,2,1,1
1,f_f001233,1,2,4,1
3,f_f001233,3,1,7,1
2,f_f001233,2,1,1,1
4,f_f001233,3,2,7,1
1,f_f001245,8,1,4,1
2,f_f001321,2,1,2,1
1,f_f001321,1,1,5,1
3,f_f001321,2,2,2,1
1,f_f001336,2,2,2,1
3,f_f001336,3,2,7,3
2,f_f001336,2,2,2,1
1,f_f001380,1,1,5,1
2,f_f001380,2,2,1,1
2,f_f001408,3,2,7,3
1,f_f001408,2,2,1,1
1,f_f001412,1,1,5,1
3,f_f001412,2,1,1,1
2,f_f001412,2,1,1,1
1,f_f001440,1,1,5,1
2,f_f001442,3,2,7,3
1,f_f001442,1,1,5,1
3,f_f001442,2,2,2,1
1,f_f001446,7,2,3,1
2,f_f001487,2,2,1,1
1,f_f001487,1,1,5,1
1,f_f001514,8,2,3,1
2,f_f001516,2,1,1,1
1,f_f001516,2,2,1,1
3,f_f001516,2,1,1,1
2,f_f001550,2,2,1,1
1,f_f001550,1,2,4,1
1,f_f001643,1,1,5,1
2,f_f001643,2,1,1,1
1,f_f001658,1,1,4,1
3,f_f001658,3,2,7,3
2,f_f001658,3,1,8,3
1,f_f001707,1,1,5,1
1,f_f001726,3,2,7,1
2,f_f001726,2,2,2,1
1,f_f001762,1,1,5,1
3,f_f001762,2,2,2,1
2,f_f001762,2,2,2,1
1,f_f001843,2,1,2,1
2,f_f001848,7,1,4,1
1,f_f001848,7,1,4,1
1,f_f001901,7,1,3,1
1,f_f001902,8,2,3,1
2,f_f001906,2,1,1,1
1,f_f001906,1,1,4,1
1,f_f001912,7,2,6,1
2,f_f001912,7,2,6,1
1,f_f002098,1,2,4,1
3,f_f002098,2,2,1,1
2,f_f002098,2,1,1,1
1,f_f002429,8,1,4,1
