TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
f_f001514,아쿠아펠리스,0,1,Y,,,2,,,부산 수영구 광안해변로 225,부산 수영구 광안동 192-5,,,,3,140000,
e_e005633,호텔6월,0,2,Y,,,2,,,서울 강동구 올림픽로72길 19-4,서울 강동구 천호동 427-39,,,,1,80000,
f_f000011,에이트호텔,1,3,Y,,,2,,아고다,,,,,2023-04-29 00:00,1,48760,
f_f000027,뮤직앤비어 게스트하우스,1,7,Y,,,1,,주식회사야놀자클라우드코리아,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-30 10:11,3,55000,숙박비
f_f000027,방가방가게스트하우스,1,7,Y,,,1,,주식회사 야놀자클라우드코리아,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-01 10:44,3,48000,숙박비
f_f000040,한화리조트 설악쏘라노,1,4,Y,,,8,,한화호텔앤드리조트(주) / 설악,강원 속초시 미시령로2983번길 111,강원 속초시 장사동 24-1,4469063,4221011300,2023-04-29 10:09,1,235500,
f_f000267,파크로쉬리조트앤웰니스,1,4,Y,,,1,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-26 00:01,1,225800,파크로쉬 리조트앤웰니스
f_f000338,상주장호스텔,0,7,Y,,,2,,,경남 남해군 상주면 남해대로697번길 22-1,경남 남해군 상주면 상주리 1318,,,,3,75000,
f_f000382,베스트루이스해밀턴호텔 오션테라스,0,1,Y,,,4,,,부산 기장군 기장읍 연화1길 27,,,,,4,260000,
f_f000384,어썸비치,2,5,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-03-27 22:14,1,100228,CA-글램핑C
