TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
f_f000543,4,교통비,3,택시,N,1,,삼안운수(자),2023-05-17 20:20,1,6500,택시비
f_f001245,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,60000,
f_f000979,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,11000,
f_f004760,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,19000,
f_f008379,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,2000,
f_f012426,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,15300,
f_f015285,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,2000,
f_f004740,4,교통비,0,택시,N,2,,,,,5500,
f_f005042,5,교통비,0,지하철,N,1,,,,,4500,
f_f006004,4,교통비,0,택시,N,1,,,,,22000,
f_f007571,2,통행료,0,렌터카(승용/승합/버스 등등),N,2,,,,,3200,
f_f008113,7,교통비,2,KTX/SRT(고속열차),N,2,3148210024,한국철도공사,2023-08-22 20:10,3,12000,기차표 
f_f009530,13,교통비,0,시내/마을버스,N,2,,,,,4500,
f_f010099,5,교통비,0,지하철,N,2,,,,,3500,
f_f012976,4,교통비,2,택시,N,2,,,2023-09-09 13:53,1,6900,택시비
f_f013422,4,교통비,3,택시,N,2,5920502690,,2023-09-09 15:04,1,16900,택시비
e_e005633,4,교통비,1,택시,N,2,2108161923,성화통상(주),2023-07-26 19:02,1,5600,택시비 
e_e005633,4,교통비,2,택시,N,2,1078136787,비에이치택시 주식회사,2023-07-27 20:36,1,6200,택시비
e_e005633,4,교통비,3,택시,N,2,4020896538,개인택시,2023-07-28 14:16,1,5100,택시비
e_e005633,4,교통비,4,택시,N,2,2130829609,개인택시,2023-07-28 14:59,1,5800,택시비
e_e005633,50,교통비,0,버스 + 지하철,N,2,,,,,76100,
e_e005633,7,교통비,0,KTX/SRT(고속열차),N,2,,,,,76400,
f_f000011,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,110000,
f_f000011,1,주차비,0,자가용(승용/승합/트럭 등등),N,2,,,,,1100,
f_f000011,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,20600,
f_f000013,1,주유비,0,자가용(승용/승합/트럭 등등),N,3,,,,,60000,
f_f000013,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,30000,
f_f000027,1,주유비,0,자가용(승용/승합/트럭 등등),N,1,,,,,100000,
f_f000027,1,주차비,0,자가용(승용/승합/트럭 등등),N,1,,,,,16000,
f_f000027,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,30000,
f_f000040,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,60000,
f_f000040,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,21000,
f_f000040,4,교통비,0,택시,N,3,,,,,14000,
f_f000040,5,교통비,0,지하철,N,8,,,,,1250,
f_f000267,11,교통비,0,관광버스,N,1,,,,,20000,
f_f000267,50,교통비,0,버스 + 지하철,N,1,,,,,11000,
f_f000267,7,교통비,0,KTX/SRT(고속열차),N,1,,,,,87600,
f_f000267,7,교통비,1,KTX/SRT(고속열차),Y,1,3148210024,한국철도공사,2023-04-27 23:20,1,21900,기차표
f_f000291,16,교통비,0,기타,N,1,,,,,12500,
f_f000291,5,교통비,0,지하철,N,1,,,,,5200,
f_f000338,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,80000,
f_f000338,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,20200,
f_f000382,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,30000,
f_f000382,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,15200,
f_f000384,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,50000,
f_f000384,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,24400,
f_f000429,50,교통비,0,버스 + 지하철,N,3,,,,,32000,
f_f000429,7,교통비,1,KTX/SRT(고속열차),Y,3,3058631590,(주)SR,2023-05-08 00:00,1,105200,기차표
f_f000429,7,교통비,2,KTX/SRT(고속열차),N,3,3058631590,주식회사 에스알,2023-05-22 10:09,1,52600,기차표
f_f000429,7,교통비,4,KTX/SRT(고속열차),Y,3,3058631590,주식회사 에스알,2023-05-04 00:00,1,103800,기차표
