TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e005633,E01,e005633,2;22;4;6,2023-07-26,2023-07-29,대중교통 등,"대구,경북 방문/경상권 거주/39세 이하/커플/일반미션",2;22;4;6,2;4;6
f_f000011,F01,f000011,8,2023-04-29,2023-05-02,,강원 방문/수도권/강원 거주/39세 이하/커플/일반미션,8,24;8;23
f_f000013,F01,f000013,4,2023-04-28,2023-05-01,,강원 방문/수도권/강원 거주/39세 이하/부모 동반/일반미션,4,24;6;4
f_f000027,F04,f000027,22;24,2023-04-28,2023-05-01,,부산 방문/거주지 구분 없음/39세 이하/특별미션,22;24,24;6;22
f_f000040,F01,f000040,28,2023-04-28,2023-04-30,,강원 방문/거주지 구분 없음/40세 이상/특별미션,28,8;1;22
f_f000267,F01,f000267,10;11;21;22;4,2023-05-19,2023-05-21,대중교통 등,강원 방문/거주지 구분 없음/39세 이하/특별미션,10;11;21;22;4,21;11;4
f_f000291,F04,f000291,22;26;3;4;6,2023-05-19,2023-05-20,대중교통 등,부산 방문/거주지 구분 없음/40세 이상/특별미션,22;26;3;4;6,4;6;21
f_f000338,F06,f000338,1;22;3;4;6,2023-05-20,2023-05-22,자가용,경남 방문/거주지 구분 없음/39세 이하/특별미션,1;22;3;4;6,22;27;21
f_f000382,F04,f000382,1;22;23;27,2023-05-19,2023-05-21,자가용,"부산,울산,경남 방문/경상권 거주/39세 이하/자녀동반/일반미션",1;22;23;27,1;22;23
f_f000384,F01,f000384,8;9;5;26,2023-05-19,2023-05-21,자가용,강원 방문/거주지 구분 없음/39세 이하/특별미션,8;9;5;26,8;5;9
f_f000429,F04,f000429,2;4,2023-05-19,2023-05-22,대중교통 등,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션",2;4,23;6;27
f_f000433,F02,f000433,1;21;22;26;6,2023-06-02,2023-06-05,대중교통 등,"대구,경북 방문/경상권 거주/39세 이하/나홀로 여행/일반미션",1;21;22;26;6,21;1;22
f_f000437,F03,f000437,21;22;26;4,2023-05-16,2023-05-18,대중교통 등,"대구,경북 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션",21;22;26;4,3;4;22
f_f000461,F04,f000461,1;2;10;6;13;3;21;22;12;24;21,2023-06-02,2023-06-05,대중교통 등,부산 방문/거주지 구분 없음/39세 이하/특별미션,1;2;10;6;13;3;21;22;12;24;21,21;5;2
f_f000473,F06,f000473,9;28;3,2023-05-27,2023-05-30,자가용,경남 방문/거주지 구분 없음/39세 이하/특별미션,9;28;3,9;13;28
f_f000484,F06,f000484,22;23;24;5,2023-05-23,2023-05-30,자가용,경남 방문/거주지 구분 없음/40세 이상/특별미션,22;23;24;5,2;21;23
f_f000489,F01,f000489,22;21;26;28;5,2023-06-06,2023-06-08,대중교통 등,강원 방문/수도권/강원 거주/39세 이하/나홀로 여행/일반미션,22;21;26;28;5,5;28;22
f_f000492,F01,f000492,10;2;22;5,2023-05-15,2023-05-19,자가용,강원 방문/수도권/강원 거주/39세 이하/자녀동반/일반미션,10;2;22;5,2;23;5
f_f000493,F01,f000493,4;6;5;11;12;22;24,2023-05-19,2023-05-22,자가용,강원 방문/수도권/강원 거주/39세 이하/자녀동반/일반미션,4;6;5;11;12;22;24,11;6;22
f_f000516,F01,f000516,23;27,2023-05-19,2023-05-22,자가용,강원 방문/거주지 구분 없음/39세 이하/특별미션,23;27,1;23;27
f_f000530,F01,f000530,1;12;22,2023-05-19,2023-05-21,자가용,강원 방문/수도권/강원 거주/39세 이하/3인 이상 친구/일반미션,1;12;22,22;1;23
f_f000532,F06,f000532,11;2;3;6,2023-06-02,2023-06-05,자가용,"부산,울산,경남 방문/경상권 외 거주/40세 이상/자녀동반/일반미션",11;2;3;6,3;11;9
f_f000538,F01,f000538,10;4;5,2023-06-03,2023-06-06,자가용,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션,10;4;5,10;4;5
f_f000543,F01,f000543,1;21;22;24;26,2023-05-16,2023-05-19,대중교통 등,강원 방문/수도권/강원 거주/39세 이하/나홀로 여행/일반미션,1;21;22;24;26,26;22;21
f_f000568,F01,f000568,22;21;12;1;23;26;27,2023-05-19,2023-05-21,대중교통 등,강원 방문/수도권/강원 거주/39세 이하/나홀로 여행/일반미션,22;21;12;1;23;26;27,22;21;3
f_f000586,F01,f000586,27;26;25;23;22,2023-05-31,2023-06-03,자가용,강원 방문/거주지 구분 없음/40세 이상/특별미션,27;26;25;23;22,25;27;23
