TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
f001906,41,여,20,5,1,2,3,2,,4,6,2,2,26,26350,28,28710,50,50130,4,1,1,4,1,7,7,7,경기도,대구,3인 이상 여행(가족 외),2023-05-28~2023-05-29,1,,,2
f015319,31,여,20,6,1,2,3,2,,2,4,3,2,50,50130,26,26500,47,47130,2,2,1,2,2,1,1,4,울산광역시,경북,3인 이상 여행(가족 외),2023-09-10~2023-09-10,3,2,8,2
f003543,26,남,50,8,1,2,4,2,,5,6,3,4,50,50130,48,48330,45,45110,5,3,2,7,4,6,1,3,부산광역시,경남,자녀 동반 여행,2023-06-24~2023-06-24,1,3,5,3
f008379,26,여,40,6,1,2,4,3,,4,11,3,4,48,48220,48,48310,48,48840,3,7,5,3,2,7,3,1,부산광역시,경남,2인 가족 여행,2023-08-19~2023-08-19,3,2,6,1
f000040,11,여,40,5,1,2,5,3,,10,12,3,3,42,42210,45,45770,41,41820,2,2,2,2,5,5,3,4,서울특별시,강원,3인 이상 여행(가족 외),2023-04-28~2023-04-29,2,1,6,7
f004112,11,남,30,6,1,1,1,1,,5,,2,1,31,31140,41,41450,42,42720,6,5,5,2,2,6,2,3,서울특별시,울산,나홀로 여행,2023-07-08~2023-07-09,2,8,1,0
f016699,26,남,20,6,1,1,3,2,,5,5,2,1,50,50130,48,48740,42,42830,3,4,1,5,5,4,6,5,부산광역시,경남,2인 가족 여행,2023-09-17~2023-09-17,3,2,1,1
f004470,48,여,40,6,1,2,4,3,,2,4,2,1,27,27290,11,11215,47,47720,2,3,3,4,3,3,3,5,경상남도,경남,3대 동반 여행(친척 포함),2023-07-15~2023-07-15,1,9,2,2
f001226,41,남,50,6,1,2,3,13,,7,9,3,4,50,50110,41,41270,29,29155,2,6,6,2,1,4,1,1,경기도,강원,자녀 동반 여행,2023-05-27~2023-05-29,1,2,3,2
f006895,11,여,30,6,5,1,2,2,,2,7,3,6,50,50130,42,42760,26,26500,3,2,2,3,5,4,4,6,서울특별시,경북,2인 여행(가족 외),2023-08-24~2023-08-25,1,2,8,1
f003631,42,남,40,6,1,2,4,2,,6,7,2,4,50,50130,42,42150,41,41670,4,4,4,4,4,4,4,4,강원도,강원,자녀 동반 여행,2023-07-01~2023-07-01,3,2,6,3
f003509,27,여,20,6,1,1,3,4,,3,7,2,2,31,31110,50,50110,48,48240,2,4,1,4,4,4,3,4,대구광역시,경남,나홀로 여행,2023-06-18~2023-06-18,1,7,6,0
f005823,41,남,30,6,1,2,2,2,,3,5,2,1,28,28185,26,26350,42,42210,6,6,5,6,6,6,6,6,경기도,강원,2인 가족 여행,2023-08-11~2023-08-11,5,7,3,1
